set,polarity,kind,dot
Set 1,Pos,target,1000
Set 1,Pos,target,1000
Set 1,Pos,target,670
Set 1,Pos,target,996
Set 1,Pos,target,1000
Set 1,Pos,target,996
Set 1,Pos,target,606
Set 1,Pos,target,804
Set 1,Pos,target,984
Set 1,Pos,target,999
Set 1,Pos,target,17
Set 1,Pos,target,955
Set 1,Pos,target,23
Set 1,Pos,target,949
Set 1,Pos,target,999
Set 1,Pos,target,960
Set 1,Pos,target,886
Set 1,Pos,target,917
Set 1,Pos,target,994
Set 1,Pos,target,998
Set 1,Pos,target,13
Set 1,Pos,target,20
Set 1,Pos,target,995
Set 1,Pos,target,999
Set 1,Pos,target,144
Set 1,Pos,target,795
Set 1,Pos,target,1000
Set 1,Pos,target,746
Set 1,Pos,target,1000
Set 1,Pos,target,872
Set 1,Pos,target,932
Set 1,Pos,target,888
Set 1,Pos,target,996
Set 1,Pos,target,995
Set 1,Pos,target,999
Set 1,Pos,target,999
Set 1,Pos,target,1
Set 1,Pos,target,995
Set 1,Pos,target,989
Set 1,Pos,target,983
Set 1,Pos,target,1000
Set 1,Pos,target,996
Set 1,Pos,target,832
Set 1,Pos,target,996
Set 1,Pos,target,833
Set 1,Pos,target,993
Set 1,Pos,target,700
Set 1,Pos,target,996
Set 1,Pos,target,1000
Set 1,Pos,target,994
Set 1,Pos,target,164
Set 1,Pos,target,996
Set 1,Pos,target,999
Set 1,Pos,target,28
Set 1,Pos,target,842
Set 1,Pos,target,699
Set 1,Pos,target,858
Set 1,Pos,target,870
Set 1,Pos,target,999
Set 1,Pos,target,991
Set 1,Pos,target,442
Set 1,Pos,target,720
Set 1,Pos,target,829
Set 1,Pos,target,587
Set 1,Pos,target,901
Set 1,Pos,target,488
Set 1,Pos,target,296
Set 1,Pos,target,593
Set 1,Pos,target,45
Set 1,Pos,target,2
Set 1,Pos,target,644
Set 1,Pos,target,778
Set 1,Pos,target,639
Set 1,Pos,target,727
Set 1,Pos,target,524
Set 1,Pos,target,318
Set 1,Pos,target,51
Set 1,Pos,target,928
Set 1,Pos,target,722
Set 1,Pos,target,1000
Set 1,Pos,target,179
Set 1,Pos,target,996
Set 1,Pos,target,783
Set 1,Pos,target,984
Set 1,Pos,target,996
Set 1,Pos,target,996
Set 1,Pos,target,886
Set 1,Pos,target,684
Set 1,Pos,target,938
Set 1,Pos,target,977
Set 1,Pos,target,365
Set 1,Pos,target,994
Set 1,Pos,target,385
Set 1,Pos,target,491
Set 1,Pos,target,796
Set 1,Pos,target,528
Set 1,Pos,target,844
Set 1,Pos,target,447
Set 1,Pos,target,778
Set 1,Pos,target,876
Set 1,Pos,target,840
Set 1,Pos,target,865
Set 1,Pos,target,288
Set 1,Pos,target,513
Set 1,Pos,target,523
Set 1,Pos,target,817
Set 1,Pos,target,956
Set 1,Pos,target,996
Set 1,Pos,target,208
Set 1,Pos,target,855
Set 1,Pos,target,950
Set 1,Pos,target,796
Set 1,Pos,target,457
Set 1,Pos,target,675
Set 1,Pos,target,996
Set 1,Pos,target,603
Set 1,Pos,target,1000
Set 1,Pos,target,819
Set 1,Pos,target,495
Set 1,Pos,target,909
Set 1,Pos,target,635
Set 1,Pos,target,999
Set 1,Pos,target,993
Set 1,Pos,target,560
Set 1,Pos,target,569
Set 1,Pos,target,993
Set 1,Pos,target,364
Set 1,Pos,target,992
Set 1,Pos,target,798
Set 1,Pos,target,885
Set 1,Pos,target,996
Set 1,Pos,target,801
Set 1,Pos,target,601
Set 1,Pos,target,981
Set 1,Pos,target,943
Set 1,Pos,target,184
Set 1,Pos,target,996
Set 1,Pos,target,640
Set 1,Pos,target,533
Set 1,Pos,target,636
Set 1,Pos,target,347
Set 1,Pos,target,996
Set 1,Pos,target,547
Set 1,Pos,target,798
Set 1,Pos,target,996
Set 1,Pos,target,973
Set 1,Pos,target,947
Set 1,Pos,target,552
Set 1,Pos,target,984
Set 1,Pos,target,610
Set 1,Pos,target,902
Set 1,Pos,target,325
Set 1,Pos,target,852
Set 1,Pos,target,856
Set 1,Pos,target,820
Set 1,Pos,target,426
Set 1,Pos,target,996
Set 1,Pos,decoy,40
Set 1,Pos,target,996
Set 1,Pos,target,285
Set 1,Pos,target,863
Set 1,Pos,target,849
Set 1,Pos,target,997
Set 1,Pos,target,802
Set 1,Pos,target,52
